,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Camopi,GF,75.52,broken clouds,3.1655,-52.3158,La pousada
212,Syracuse,IT,61.97,overcast clouds,37.0881,15.2792,Hotel Posta
213,Luganville,VU,80.65,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
214,Caninde De Sao Francisco,BR,68.32,few clouds,-9.66,-37.7894,Xingó Parque Hotel
216,Faanui,PF,78.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
219,Victoria,HK,88.97,clear sky,22.2855,114.1577,Mini Central
220,Masallatah,LY,70.88,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
222,Bang Saphan,TH,78.42,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
223,West Plains,US,60.91,clear sky,36.7281,-91.8524,West Plains Motel
224,Parana,AR,67.57,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
225,Horqueta,PY,64.45,clear sky,-23.3428,-57.0597,Hospedaje Heina
226,Cabo San Lucas,MX,83.17,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
227,Khash,IR,64.38,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
229,Las Cruces,US,72.36,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
230,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
231,Huarmey,PE,62.42,broken clouds,-10.0681,-78.1522,Hotel Miramar
234,Bullhead City,US,88.09,clear sky,35.1478,-114.5683,Harrah’s Laughlin Beach Resort & Casino
237,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
238,Platanos,GR,65.08,broken clouds,37.6667,21.6167,Hotel Kronio
239,Noumea,NC,76.98,few clouds,-22.2763,166.4572,Hôtel Le Lagon
241,Mzimba,MW,63.68,clear sky,-11.9,33.6,Zagegs Hotel
243,Tiznit,MA,75.4,clear sky,29.5833,-9.5,
244,Yevlax,AZ,66.51,clear sky,40.6089,47.1492,Yevlax Şeher Heyder Eliyev Parki
246,Dabakala,CI,71.94,light rain,8.3667,-4.4333,Mosquée
248,Guaruja,BR,66.88,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
254,Wala,CM,66.34,overcast clouds,4.578,12.3154,
256,Monte Alegre,BR,79.38,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
